"name","address","suburb","city","postCode","phone","longitude","latitude"
"New World Milford","141 Kitchener Road","Milford","Auckland","0620","09 489 5543","174.764751","-36.772446"
"Pacific Superette","62 East Coast Road","Milford","Auckland","0620","09 410 5804","174.758327","-36.768495"
"Sweet Lotto Centre","24 Milford Road","Milford","Auckland","0620","09 489 3998","174.7669455","-36.77158149"
"Kepa Road Superette","297 Kepa Road","Mission Bay","Auckland","1071","09 528 3496","174.8363076","-36.86020566"
"Mobil Mt Albert","6a Owairaka Avenue","Mount Albert","Auckland","1025","096293593","174.7267321","-36.89409546"
"Crown Superette","94 Melrose Road","Mount Roskill","Auckland","1041","09 624 0111","174.7515525","-36.91634076"
"Z Sylvia Park","510 Mount Wellington Highway","Mount Wellington","Auckland","1060","09 573 1231","174.8418732","-36.9247643"
"Mt Albert Superette","954 New North Road","Mount Albert","Auckland","1025","09 846 7261","174.714922","-36.884932"
"Pak N Save Mt Albert","1167-1177 New North Road","Mount Albert","Auckland","1022","09 8200218","174.7066643","-36.89274008"
"Rocket Superette","764 New North Road","Mount Albert","Auckland","1025","09 846 2878","174.7258637","-36.880191"
"Whitcoulls St Lukes","80 St Lukes Road","Mount Albert","Auckland","1025","09 9845416","174.733598","-36.882982"
"Woodward Dairy","53 Woodward Road","Mount Albert","Auckland","1025","09 846 9003","174.7105321","-36.88386663"
"Countdown Mt Eden","Cnr Dominion & Valley Roads","Mount Eden","Auckland","1024","09 255 2406","174.7512418","-36.87590017"
"Dominion Superette","417 Dominion Road","Mount Eden","Auckland","1024","09 638 8042","174.7487344","-36.88241116"
"Eden Foods (Mt Eden)","444 Mt Eden Road","Mount Eden","Auckland","1024","09 630 5140","174.762238","-36.881923"
"Esplanade Foodmarket","155 Mt Eden Road","Mount Eden","Auckland","1024","09 630 2943","174.7610628","-36.87110763"
"Manisha Superette","841 Mt Eden Road","Mount Eden","Auckland","1024","09 638 8225","174.7580012","-36.89530293"
"Amigo's Dairy, Stationery & Lotto","977 Dominion Road","Mount Roskill","Auckland","1041","09 620 7558","174.7418784","-36.90350177"
"Countdown Lynfield","570 Hillsborough Road","Mount Roskill","Auckland","1041","09 2559664","174.7239447","-36.92558428"
"Countdown Mt Roskill","112 Stoddard Road","Mount Roskill","Auckland","1041","09 255 9724","174.727399","-36.904407"
"Glass Road Superette","51 Glass Road","Mount Roskill","Auckland","1041","09 620 0640","174.736453","-36.926125"
"Jyotis Dairy","328 Mt Albert Road","Mount Roskill","Auckland","1041","09 620 9877","174.737674","-36.901717"
"Lockingtons Pharmacy Ltd","198 - 202 Stoddard Road","Mount Roskill","Auckland","1041","09 6204904","174.7211315","-36.90051164"
"Mayfair Superette","3/489 Richardson Road","Mount Roskill","Auckland","1041","09 626 7581","174.730542","-36.915835"
"McKinnon Street Superette","2 McKinnon Street","Mount Roskill","Auckland","1041","09 620 4948","174.743227","-36.924094"
"New World Mt Roskill","53 May Road","Mount Roskill","Auckland","1041","09 621 2050","174.7349993","-36.90867249"
"Tai Ping (Mt Roskill)","911 Dominion Road","Mount Roskill","Auckland","1041","09 629 0340","174.742861","-36.900294"
"Barrack Road Superette","4/103 Barrack Road","Mount Wellington","Auckland","1060","09 527 8484","174.837067","-36.902415"
"Countdown Sylvia Park","286 Mt Wellington Highway","Mount Wellington","Auckland","1060","09 255 2397","174.8394749","-36.91677466"
"Drop In Superette & Lotto","276 Penrose Road","Mount Wellington","Auckland","1060","09 527 7208","174.8382786","-36.90801189"
"Fresh For Less","6/627 Mt Wellington Highway","Mount Wellington","Auckland","1062","09 270 6351","174.8428612","-36.93066714"
"Harris Road Superette & Lotto","2 Harris Road","Mount Wellington","Auckland","1051","09 579 6460","174.8323711","-36.89676739"
"Highway Dairy","120 Mt Wellington Highway","Mount Wellington","Auckland","1060","09 574 6272","174.841641","-36.904252"
"New World Stonefields","100 Lunn Avenue","Mount Wellington","Auckland","1072","09 572 8840","174.8326991","-36.88985248"
"Pak N Save Sylvia Park","286 Mt Wellington Highway","Mount Wellington","Auckland","1060","09 526 1790","174.8393957","-36.91663106"
"Panorama Dairy","44 Panorama Road","Mount Wellington","Auckland","1060","09 579 4447","174.8297659","-36.90429829"
"Paper Plus Sylvia Park","286 Mt Wellington Hwy","Mount Wellington","Auckland","1060","09 579 5343","174.8394439","-36.91671051"
"Caltex Clark Street","11-13 Clark Street","New Lynn","Auckland","0600","09 827 8820","174.687800","-36.910354"
"Countdown Lynn Mall","3058 Great North Road","New Lynn","Auckland","0600","09 255 2439","174.6848929","-36.90639771"
"Ezy Mart Dairy","3220 Great North Road","New Lynn","Auckland","0600","09 8131460","174.669582","-36.909698"
"New World New Lynn","2 Crown Lynn Place","New Lynn","Auckland","0600","09 825 1110","174.6853696","-36.91058468"
"Station Mart","44 Totara Avenue","New Lynn","Auckland","0600","09 825 0027","174.683681","-36.908944"
"Whitcoulls New Lynn","3058 Great North Road","New Lynn","Auckland","0600","09 984 5424","174.6848929","-36.90639771"
"Z New Lynn","62 Rata Street","New Lynn","Auckland","0600","09 827 4707","174.6812538","-36.90282372"
"New Windsor Dairy","189 New Windsor Road","New Windsor","Auckland","0600","09 626 6409","174.7135817","-36.90742605"
"Countdown Newmarket","277 Broadway","Newmarket","Auckland","1023","09 255 9712","174.7770942","-36.87062686"
"Paper Plus Newmarket","255 Broadway","Newmarket","Auckland","1023","09 522 3343","174.777045","-36.870302"
"Skyblue Superette","33 Kingdon Street","Newmarket","Auckland","1023","09 522 1114","174.776643","-36.865530"
"Unichem on Broadway","197 Broadway","Newmarket","Auckland","1023","09 524 7719","174.7775945","-36.86906366"
"City View Superette","93 Pupuke Road","Northcote","Auckland","0627","09 480 7767","174.734379","-36.801655"
"Mitchell's Paper Power","3 Pearn Crescent","Northcote","Auckland","0627","09 480 8785","174.7444102","-36.80157743"
"Z Northcote","119 Onewa Road","Northcote","Auckland","0627","09 418 0119","174.7378103","-36.81003635"
"Northcross Pricecutter & Lotto","851 East Coast Road","Northcross","Auckland","0630","09 478 5434","174.7279509","-36.70950635"
"Pak n Save Botany","501 Ti Rakau Drive","Northpark","Auckland","2013","09 273 8887","174.9142026","-36.92929753"
"Logan Park Foodmarket","69 Tawa Road","One Tree Hill","Auckland","1061","09 636 4376","174.792445","-36.906680"
"Jellicoe Park Dairy","101 Trafalgar Street","Onehunga","Auckland","1061","09 636 8575","174.778688","-36.916574"
"Mt Smart Superette","225 Mt Smart Road","Onehunga","Auckland","1061","09 525 6880","174.8009628","-36.91515348"
"Onehunga Mall Superette","222 Onehunga Mall","Onehunga","Auckland","1061","09 6221793","174.785036","-36.92147718"
"Onehunga Office Supplies","159 A Onehunga Mall","Onehunga","Auckland","1061","09 634 2202","174.7854966","-36.92374864"
"Smart Superette","150A Mt Smart Road","Onehunga","Auckland","1061","09 636 8199","174.7918197","-36.91531946"
"Eastridge Lotto","215 Kepa Road","Mission Bay","Auckland","1071","09 5288619","174.8284663","-36.86060072"
"Orakei Mini Mart","172 Kepa Road","Orakei","Auckland","1071","09 528 6297","174.8244527","-36.86093812"
"Orakei Post Centre Superette","64 Coates Avenue","Orakei","Auckland","1071","09 524 7313","174.814682","-36.85599867"
"Oratia Superette","556 West Coast Road","Oratia","Auckland","0604","09 818 6462","174.6187365","-36.91301841"
"Caltex Monument","561 Great South Road","Otahuhu","Auckland","1062","09 270 3554","174.845652","-36.948711"
"Crystal Mini Mart and Lotto","433 Great South Road","Otahuhu","Auckland","1062","09 276 8435","174.844321","-36.94486509"
"Downtown Dairy","279 Great South Road","Otahuhu","Auckland","1062","09 276 5440","174.8411723","-36.94183675"
"Motorway Dairy & Lotto","89 Princes Street","Otahuhu","Auckland","1062","09 276 7679","174.8513187","-36.93903967"
"Sai Super Store","1/28 Avenue Road","Otahuhu","Auckland","1062","09 276 4060","174.845056","-36.942617"
"Supervalue Hall Avenue","29 Hall Avenue","Otahuhu","Auckland","1062","09 276 6161","174.8427451","-36.94496847"
"Z Otahuhu","19 Princess Street","Otahuhu","Auckland","1062","09 270 0836","174.8428705","-36.94106619"
"Ashton Dairy","40 Ashton Avenue","Otara","Auckland","2023","09 274 1049","174.865583","-36.960381"
"Buffy's Superette","267 East Tamaki Road","Otara","Auckland","2023","09 274 8233","174.8871612","-36.96118996"
"Ferguson Dairy","95 Ferguson Road","Otara","Auckland","2023","09 274 3630","174.885803","-36.96855945"
"Flatbush Superette","1 Piako Street","Otara","Auckland","2023","09 274 8130","174.8830523","-36.97560662"
"Gilbert Road Superette","55 Gilbert Road","Otara","Auckland","2023","09 274 9426","174.8694381","-36.95309725"
"Kingston Food Centre","58 Everitt Road","Otara","Auckland","2023","09 274 6646","174.87845","-36.968262"
"Mayfield Superette","15 Johnstones Road","Otara","Auckland","2023","09 274 7043","174.886574","-36.953345"
"Otara Post","Otara Town Centre, Fair Mall","Otara","Auckland","2023","09 274 5420","174.873213","-36.961107"
"Wymondley Superette","2A Wymondley Road","Otara","Auckland","2025","09 276 6323","174.8594795","-36.95755302"
"Cascade Superette","123 Cascade Road","Pakuranga Heights","Auckland","2010","09 576 7875","174.900536","-36.91167"
"Lucky Shop Lotto","1 Aylesbury Street","Pakuranga","Auckland","2010","09 577 1407","174.8700336","-36.91306473"
"Pakuranga Heights Four Square","114 Reeves Road","Pakuranga Heights","Auckland","2010","09 576 2327","174.889625","-36.915237"
"Pakuranga Lotto","Pakuranga Road","Pakuranga","Auckland","2010","09 5764827","174.8725471","-36.91261549"
"Ti Rakau Superette","115 Ti Rakau Drive","Pakuranga","Auckland","2010","09 576 9737","174.8767845","-36.92047731"
"Z Pakuranga","470 Pakuranga Highway","Half Moon Bay","Auckland","2012","09 5763371","174.899415","-36.900064"
"Gossamer Minimart & Lotto Shop","147 Gossamer Drive","Pakuranga Heights","Auckland","2010","09 576 5464","174.8877628","-36.92070552"
"Jellicoe Court Bookstore","1 B Jellicoe Court","Panmure","Auckland","1072","09 5273847","174.8517657","-36.89812988"
"London Superette","172 Queens Road","Panmure","Auckland","1072","09 527 6933","174.8569259","-36.900718"
"Supavalue Supermarket Panmure","88 Queens Road","Panmure","Auckland","1072","09 570 5525","174.854684","-36.899479"
"Tripoli Road Super 7","91 Tripoli Road","Panmure","Auckland","1072","09 527 7287","174.8632554","-36.89290966"
"Eastpark Superette","1 Prictor Street","Papakura","Auckland","2110","09 297 7556","174.947512","-37.062112"
"Porchester Road Superette","156 Porchester Road","Papakura","Auckland","2110","09 298 7457","174.935658","-37.049226"
"Z Kingsway","28 Clevedon Road","Whitford","Auckland","2110","09 2988 185","174.948302","-36.929745"
"Z Takanini","166 Great South Road","Papakura","Auckland","2112","09 2999804","174.920056","-37.043456"
"Countdown Papatoetoe","217 Great South Road","Papatoetoe","Auckland","2025","09 255 9666","174.860030","-36.970837"
"Grange Superette","8 Great South Road","Papatoetoe","Auckland","2025","09 279 9809","174.854869","-36.962546"
"Hari Superette","284 Puhinui Road","Wiri","Auckland","2025","09 278 3131","174.84883","-36.99164242"
"New World Papatoetoe","63 St George Street","Papatoetoe","Auckland","2025","09 278 4897","174.8536026","-36.97958699"
"Papatoetoe Plaza Lotto","217 Great South Road","Papatoetoe","Auckland","2025","09 277 7788","174.8615664","-36.97073399"
"Rockyz Mini Mart","24a Charles Street","Papatoetoe","Auckland","2025","09 279 7355","174.861446","-36.969417"
"Schofields Stationers Paper Power","75 St George Street","Papatoetoe","Auckland","2025","09 278 8715","174.8541034","-36.97965465"
"Sing Lee Supermarket","582 Great South Road","Manukau","Auckland","2025","09 279 8789","174.87671","-36.980585"
"Vege Oasis","3/28 Bairds Road","Papatoetoe","Auckland","2025","09 276 1444","174.854720","-36.957518"
"Victoria Dairy","71 Carruth Road","Papatoetoe","Auckland","2025","09 277 5388","174.867965","-36.982984"
"Z Hunters Corner","72-76 East Tamaki Road","Papatoetoe","Auckland","2025","09 2788268","174.863005","-36.96673341"
"Hilltop Superette","411 Parnell Road","Parnell","Auckland","1052","09 373 2677","174.7827274","-36.85900022"
"Wyvern Dairy","120-122 Parnell Road","Parnell","Auckland","1052","09 369 1968","174.7791804","-36.85312028"
"Z Beach Road","150 Beach Road","Auckland","Auckland","1010","09 373 5268","174.774848","-36.849679"
"Caltex Penrose","682 Great South Road","Penrose","Auckland","1061","09 5793636","174.808713","-36.90358"
"Rockfield Superette","81 Rockfield Road","Penrose","Auckland","1061","09 579 8555","174.8048504","-36.90736229"
"Night n Day @ Gull Greville Road","50 Greville Road","Pinehill","Auckland","0632","09 475 5316","174.724696","-36.730422"
"Z Point Chev","1125-1143 Great North Road","Point Chevalier","Auckland","1022","09 849 5978","174.7127175","-36.8691484"
"Countdown Ponsonby","4 Williamson Avenue","Grey Lynn","Auckland","1021","09 255 9707","174.749348","-36.859240"
"Paper Plus Ponsonby","332 Ponsonby Road","Ponsonby","Auckland","1011","09 3763905","174.743918","-36.847903"
"Richmond Road Superette","159 Richmond Road","Grey Lynn","Auckland","1021","09 376 7081","174.7391404","-36.85503236"
"PK Superette","228 Point Chev Road","Point Chevalier","Auckland","1022","09 846 6725","174.7048075","-36.86341387"
"Pt Chevalier Lotto Plus","1197 Great North Road","Point Chevalier","Auckland","1022","09 8468836","174.7108418","-36.87025817"
"Riverside Dairy","104 Pt England Road","Point England","Auckland","1072","09 570 2068","174.8646816","-36.88251911"
"Z Pukekohe","11 Stadium Drive","Pukekohe","Auckland","2120","09 238 4596","174.908371","-37.200022"
"Fresh Choice Ranui","433 Swanson Road","Ranui","Auckland","0612","09 833 8420","174.600462","-36.864081"
"Mainly Mags","6/319 Remuera Road","Remuera","Auckland","1050","09 520 4075","174.7964262","-36.88073603"
"Victoria Ave Superette & Lotto","176 Victoria Avenue","Remuera","Auckland","1050","09 5201860","174.7994629","-36.87108617"
"Village Dairy","543 Remuera Road","Remuera","Auckland","1050","09 524 4389","174.8114058","-36.88086477"
"Caltex Constellation","21 Constellation Drive","Rosedale","Auckland","0632","09 478 8333","174.735306","-36.747224"
"Z Constellation Drive","36 Constellation Drive","Rosedale","Auckland","0632","09 478 3715","174.731928","-36.748196"
"Rothesay Bay Superette","605 Beach Road","Rothesay Bay","Auckland","0630","09 478 7009","174.747265","-36.726470"
"Royal Oak Mall Lotto","691 Manukau Road","Royal Oak","Auckland","1023","09 624 1705","174.7757055","-36.91011208"
"Z Royal Oak","700 Mount Albert Road","Royal Oak","Auckland","1023","09 624 1102","174.773621","-36.911182"
"Rockys Superette","175 Sandringham Road","Sandringham","Auckland","1021","09 815 2357","174.7406156","-36.87784095"
"Smart Deal Bazaar","513A Sandringham Road","Sandringham","Auckland","1025","09 846 7316","174.7362444","-36.89132682"
"Eden Foods (St Heliers)","31 St Heliers Bay Road","St Heliers","Auckland","1071","09 575 7798","174.8577792","-36.85107604"
"Maskell Lotto & Convenience Store","11 Maskell Street","St Heliers","Auckland","1071","09 528 2684","174.8609884","-36.85929997"
"Countdown St Johns","130-140 Felton Mathew Avenue","St Johns","Auckland","1072","09 2559733","174.851413","-36.879995"
"Dorchester Superette","2 Dorchester Street","Meadowbank","Auckland","1072","09 528 6837","174.8323015","-36.8725951"
"Paper Plus Meadowbank","35 St Johns Road","St Johns","Auckland","1072","09 528 3956","174.8271855","-36.87585484"
"Simkin Superette","44 Simkin Avenue","St Johns","Auckland","1072","09 521 1669","174.844164","-36.875060"
"Lotto NZ Concept Store","80 St Lukes Road","Mount Albert","Auckland","1025","09 846 2352","174.733598","-36.882984"
"Supervalue Stonefields","11/40 Stonefields Avenue","Stonefields","Auckland","1072","09 527 8811","174.844828","-36.886785"
"Whiteacres Superette","31 Whiteacres Drive","Sunnyhills","Auckland","2010","09 576 6992","174.891585","-36.901118"
"Civic Video & Lotto Sunnynook","106 Sunnynook Road","Sunnynook","Auckland","0620","09 4107782","174.7413968","-36.7584901"
"Countdown Sunnynook","106 Sunnynook Road","Sunnynook","Auckland","0620","09 255 2470","174.7410237","-36.75874936"
"Sunnybrae Superette Henderson","101 View Road","Sunnyvale","Auckland","0612","09 838 9707","174.6391077","-36.89253961"
"Sunnyvale Superette","16 Sunnyside Road","Sunnyvale","Auckland","0612","09 8388631","174.6357056","-36.8958191"
"Swanson Superette and Post Centre","709 Swanson Road","Swanson","Auckland","0612","09 833 6086","174.5799941","-36.86553236"
"Countdown Takanini","228 Great South Road","Takanini","Auckland","2112","09 255 2408","174.9275968","-37.04872986"
"Pak n Save Papakura","331-345 Great South Road","Takanini","Auckland","2112","09 295 0012","174.931166","-37.05283821"
"Southgate Superette","230 Great South Road","Takanini","Auckland","2112","09 299 9478","174.928827","-37.049794"
"Countdown Hauraki Corner","367 - 373 Lake Road","Hauraki","Auckland","0622","09 255 9731","174.777901","-36.796674"
"Magascene","33 Hurstmere Road","Takapuna","Auckland","0622","09 4895953","174.7726066","-36.78834241"
"Takapuna Dairy","4 Huron Street","Takapuna","Auckland","0622","09 486 2000","174.771374","-36.78888"
"Tom's Lucky Lotto Shop Takapuna","Barrys Point Road","Takapuna","Auckland","0622","09 4866981","174.7652604","-36.7916094"
"Valentines Stationers","359A Lake Road","Hauraki","Auckland","0622","09 489 2635","174.7782052","-36.79690218"
"Whitcoulls Shore City","Cnr Lake Road and Como Street","Takapuna","Auckland","0622","09 984 5410","174.7706342","-36.78761304"
"Z Lakeside","Cnr Northcote Rd & Taharoto Rd","Takapuna","Auckland","0627","09 486 6103","174.7568637","-36.78554538"
"Z Te Atatu","402 Te Atatu North Road","Te Atatu Peninsula","Auckland","0610","09 834 6309","174.6506379","-36.85212295"
"Countdown Te Atatu","583 Te Atatu Road","Te Atatu Peninsula","Auckland","0610","09 255 2420","174.652449","-36.84261"
"Peninsula Foodmarket","694 Te Atatu Road","Te Atatu Peninsula","Auckland","0610","09 834 5200","174.6467846","-36.83178492"
"Peninsula Price Cutter","460 Old Te Atatu Road","Te Atatu Peninsula","Auckland","0610","09 834 3613","174.6506571","-36.84902513"
"Unichem Peninsula Pharmacy","550 Te Atatu Road","Te Atatu Peninsula","Auckland","0610","09 834 6303","174.651533","-36.842309"
"Edmonton Stationery & Lotto","253 Edmonton Road","Te Atatu South","Auckland","0610","09 838 9206","174.6468337","-36.86511899"
"Sylvan Superette","76 Flanshaw Road","Te Atatu South","Auckland","0610","09 834 3465","174.644027","-36.859781"
"Westside Superette","2/147 Te Atatu Road","Te Atatu South","Auckland","0610","09 838 9624","174.6457559","-36.87397717"
"Countdown Three Kings","532 Mount Albert Road","Three Kings","Auckland","1042","09 255 9705","174.7548318","-36.90929182"
"Joy Dairy","1A Hayr Road","Three Kings","Auckland","1042","09 625 7571","174.754601","-36.909774"
"Kaurilands Superette","103-107 Atkinson Road","Titirangi","Auckland","0604","09 817 9350","174.654424","-36.927135"
"Titirangi Lotto, Postshop & Kiwibank","1/400 Titirangi Road","Titirangi","Auckland","0604","09 8173080","174.6576892","-36.93762941"
"Titirangi Supervalue","429 Titirangi Road","Titirangi","Auckland","0604","09 817 6859","174.6564259","-36.93759658"
"Waima Superette & Video","84 Woodlands Park Road","Titirangi","Auckland","0604","09 817 7638","174.6379706","-36.94049734"
"Westview Superette","235 Titirangi Road","Titirangi","Auckland","0604","09 816 9067","174.6617424","-36.92336109"
"BK's Four Square","1058 Beach Road","Torbay","Auckland","0630","09 4736197","174.750648","-36.694963"
"Video Ezy Torbay","971 Beach Road","Torbay","Auckland","0630","09 4736268","174.7519345","-36.69556864"
"Unsworth Heights Superette","145 Unsworth Drive","Unsworth Heights","Auckland","0632","09 443 7937","174.710852","-36.754486"
"Mobil Hillside","140 Wairau Road","Wairau Valley","Auckland","0627","09 443 7191","174.7401932","-36.77157694"
"Waitakere Superette","31 Township Road","Waitakere","Auckland","0614","09 810 9637","174.544675","-36.849156"
"Z Waiuku","16 Kitchener Road","Waiuku","Auckland","2123","09 235 2082","174.73253","-37.248905"
"Waterview Superette","1481 Great North Road","Waterview","Auckland","1026","09 828 0482","174.7020849","-36.87957042"
"Moor Park Superette","1 Moor Park","Wattle Downs","Auckland","2103","09 267 4638","174.8862438","-37.05546622"
"Westpark Superette","3B/17 Clearwater Cove","West Harbour","Auckland","0618","09 4169383","174.639481","-36.813025"
"Caltex Western Springs","790 Great North Road","Western Springs","Auckland","1022","09 846 2120","174.728475","-36.868085"
"Pak n Save Westgate","17-19 Fred Taylor Drive","Massey","Auckland","0814","09 417 0162","174.608432","-36.820547"
"Ramlax Dairy","174 Garnet Road","Westmere","Auckland","1022","09 360 0148","174.7179342","-36.85404095"
"Weymouth Superette","1 Waimahia Avenue","Weymouth","Auckland","2103","09 267 4430","174.8653104","-37.04291358"
"Shree Superette","89 Brighams Creek Road","Whenuapai","Auckland","0618","09 416 8813","174.6158318","-36.79341833"
"Windsor Park Superette & Lotto","524 East Coast Road","Mairangi Bay","Auckland","0630","09 4794427","174.7422786","-36.73969249"
"Rata Vine Foodmarket","9 Laurelia Place","Wiri","Auckland","2104","09 263 5915","174.891445","-37.003502"
"Awanui Junction Dairy","68 Main Road","RD 1","Awanui","0451","09 406 7307","173.2558381","-35.04708833"
"Balclutha New World","9 Lanark Street","Balclutha","Balclutha","9230","03 418 2850","169.7433003","-46.23806339"
"Ryders Paper Plus","3 John Street","Balclutha","Balclutha","9230","03 4182360","169.739871","-46.23786609"
"Opua General Store","3 Beechy Street","Opua","Bay of Islands","0200","09 402 8128","174.1206408","-35.31244902"
"Countdown Blenheim","51 Arthur Street","Blenheim","Blenheim","7201","03 520 6130","173.9542399","-41.51367627"
"Midway Dairy & Takeaway","76 Grove Road","Mayfield","Blenheim","7201","03 578 3146","173.9611063","-41.50235442"
"New World Blenheim","4 Freswick Street","Blenheim","Blenheim","7201","03 520 9030","173.9614479","-41.51400553"
"Paper Plus Blenheim","Market Place","Blenheim","Blenheim","7201","03 577 6363","173.9563712","-41.51241796"
"Redwood Lotto","77A Cleghorn Street","Redwoodtown","Blenheim","7201","03 5788666","173.9553","-41.53034659"
"Countdown Redwoodtown","Cnr Weld & Alabama Streets","Redwoodtown","Blenheim","7201","03 520 6770","173.954441","-41.528539"
"Countdown Springlands","133 Middle Renwick Road","Springlands","Blenheim","7206","03 520 8490","173.9346257","-41.50915458"
"Pak n Save Blenheim","1 Westwood Avenue","Springlands","Blenheim","7240","03 520 8275","173.926867","-41.509248"
"Bluff Service Centre","94 - 98 Gore Street","Bluff","Bluff","9842","03 212 6800","168.3436145","-46.59911127"
"Brightwater Four Square","58 Ellis Street","Brightwater","Brightwater","7022","03 542 3608","173.1100771","-41.37648179"
"Bulls Four Square","100 Bridge Street","Bulls","Bulls","4818","06 322 1236","175.385309","-40.176389"
"Countdown Cambridge","Cnr Queen & Empire Streets","Leamington","Cambridge","3434","07 823 5971","175.4696525","-37.89158803"
"New World Cambridge","14 Anzac Street","Leamington","Cambridge","3434","07 8277 533","175.472202","-37.893426"
"Robinson Street Superette","31 Robinson Street","Leamington","Cambridge","3434","07 827 4558","175.477234","-37.882599"
"Victoria Station","55 Victoria Street","Leamington","Cambridge","3434","07 823 1110","175.4696276","-37.89456792"
"Wayne's Lucky Lotto","66 Victoria Street","Leamington","Cambridge","3434","07 827 3527","175.4690597","-37.89394949"
"Fresh Choice Leamington","46 Burns Street","Leamington","Cambridge","3432","07 823 7144","175.473289","-37.905572"
"Shakespeare Street Four Square","173 Shakespeare Street","Leamington","Cambridge","3432","07 827 5315","175.4749152","-37.90665129"
"New World Carterton","60 High Street South","Carterton","Carterton","5713","06 379 8016","175.5264093","-41.02583466"
"Smith Hare & Christison","191 High Street North","Clareville","Carterton","5713","06 379 8804","175.5291907","-41.023138"
"Omakau Four Square","5 Wilson Street","Omakau","Central Otago","9585","03 4473 854","169.6024512","-45.09382792"
"Cheviot Hardware","24 Hall Street","Cheviot","Cheviot","7310","03 319 8869","173.2740725","-42.8126506"
"Countdown Christchurch Airport","530 Memorial Drive","Christchurch Airport","Christchurch","8053","09 255 9742","172.547618","-43.490744"
"Countdown Moorhouse","347 Moorhouse Avenue","Christchurch Central","Christchurch","8011","03 365 0276","172.6428184","-43.53986758"
"Edgeware Village Supervalue","61 - 63 Edgeware Road","St Albans","Christchurch","8014","03 366 1918","172.636802","-43.513328"
"Fendalton Village Superval Plus","Cnr Clyde And Ilam Road","Bryndwr","Christchurch","8052","03 351 9075","172.5903251","-43.50894105"
"Pak N Save Moorhouse","297 Moorhouse Avenue","Sydenham","Christchurch","8011","03 377 1000","172.6378139","-43.53993705"
"South City New World","555 Colombo Street","Christchurch Central","Christchurch","8011","03 377 6778","172.6364737","-43.53748341"
"Z Moorhouse","44 Moorhouse Ave","Addington","Christchurch","8011","03 366 9607","172.622162","-43.540199"
"Addington Price Cutter & Lotto","290 Lincoln Road","Addington","Christchurch","8024","03 3380579","172.6120184","-43.5435614"
"Paper Tree","Whiteleigh Avenue","Addington","Christchurch","8024","03 343 1483","172.6048679","-43.5400384"
"Z Addington","250 Lincoln Road","Addington","Christchurch","8024","03 338 8795","172.6086056","-43.5459054"
"Wainoni Foodmarket","279 Wainoni Road","Avondale","Christchurch","8061","03 3888 308","172.700351","-43.507112"
"Wainoni Pak N Save","174 Wainoni Road","Avondale","Christchurch","8061","03 373 9005","172.6925919","-43.51204091"
"Avonlea Dairy","42A Avonhead Road","Avonhead","Christchurch","8042","03 348 7797","172.559752","-43.524998"
"Countdown Avonhead","210 Withells Road","Avonhead","Christchurch","8042","03 358 4765","172.556192","-43.51081256"
"Fresh Choice Barrington","256 Barrington Street","Spreydon","Christchurch","8024","03 332 6364","172.618653","-43.55703065"
"Countdown Colombo","219 Colombo Street","Sydenham","Christchurch","8024","03 3375781","172.6366331","-43.5533174"
"Cosy Nook Dairy","806B Main North Road","Belfast","Christchurch","8051","03 323 8451","172.63245","-43.445345"
"Countdown Northwood","1 Radcliffe Road","Belfast","Christchurch","8051","03 375 9024","172.623169","-43.46072537"
"Z Belfast","713 Main Nth Road","Belfast","Christchurch","8051","03 323 8715","172.6277549","-43.45166795"
"Bishopdale New World","41 Bishopdale Court","Bishopdale","Christchurch","8053","03 359 8998","172.5874971","-43.48857941"
"Unichem Bishopdale Pharmacy","39 Bishopdale Court","Bishopdale","Christchurch","8053","03 359 8302","172.5893321","-43.48915778"
"Wairakei Road Supervalue","291 Wairakei Road","Bryndwr","Christchurch","8053","03 359 8218","172.585198","-43.49911167"
"Z Bryndwr","52 Strowan Road","Strowan","Christchurch","8052","03 3558902","172.6075278","-43.51047952"
"Burnside Dairy","176 Kendal Avenue","Burnside","Christchurch","8053","03 358 5880","172.56403","-43.500685"
"Burwood Food Market","283 Burwood Road","Burwood","Christchurch","8083","03 383 0617","172.6808961","-43.48240202"
"Cashmere Super Dairy","89 Centaurus Road","Huntsbury","Christchurch","8022","03 3323490","172.6469215","-43.56689878"
"Mobil Bealey Ave","268-270 Bealey Ave","Christchurch Central","Christchurch","8013","03 366 2465","172.645172","-43.521331"
"Gayhurst Dairy","44 McBratneys Road","Dallington","Christchurch","8061","03 982 1723","172.674173","-43.513744"
"Barbadoes Food Store","569 Barbadoes Street","Edgeware","Christchurch","8013","03 9666333","172.645745","-43.513563"
"Fendalton New World","19 Memorial Avenue","Ilam","Christchurch","8052","03 3516251","172.5884532","-43.51770745"
"Countdown Ferrymead","999 Ferry Road","Woolston","Christchurch","8023","03 373 6520","172.700371","-43.556431"
"Take Note Ferrymead","1005 Ferry Road","Woolston","Christchurch","8062","03 384 2063","172.7026485","-43.55736773"
"BP 2 Go Halswell","246 Halswell Road","Halswell","Christchurch","8245","03 322 7134","172.570834","-43.571964"
"Halswell Dairy","456 Halswell Road","Halswell","Christchurch","8025","03 322 1640","172.5703146","-43.58628549"
"Halswell New World","346 Halswell Road","Halswell","Christchurch","8025","03 322 9991","172.5669658","-43.5802141"
"Relay Christchurch Airport","60 Durey Road","Christchurch Airport","Christchurch","8053","09 927 5411","172.5442734","-43.488745"
